code,description,car_type,category,common_cause,fix_tip
P0401,EGR Flow Insufficient Detected,Dacia Logan/Sandero,Mechanical,EGR valve stuck closed or clogged,Clean EGR valve and intake passagesP0402,EGR Flow Excessive Detected,Dacia Logan/Sandero,Mechanical,EGR valve stuck open,Replace or clean EGR valve
P0403,EGR Control Circuit Malfunction,Dacia Logan/Sandero,Electrical,EGR solenoid wiring fault,Check EGR solenoid wiring
P0404,EGR Control Circuit Range/Performance,Dacia Logan/Sandero,Electrical,EGR solenoid out of range,Test EGR solenoid operation
P0405,EGR Sensor A Circuit Low,Dacia Logan/Sandero,Electrical,EGR position sensor wiring short,Check EGR position sensor wiring
P0406,EGR Sensor A Circuit High,Dacia Logan/Sandero,Electrical,EGR position sensor wiring open,Check EGR position sensor wiring
P0410,Secondary Air Injection System Malfunction,Dacia Logan/Sandero,Electrical,AIR pump relay or wiring fault,Check AIR pump relay and wiring
P0411,Secondary Air Injection Incorrect Flow,Dacia Logan/Sandero,Mechanical,AIR pump weak or check valve stuck,Test AIR pump operation,check valve
P0420,Catalyst System Efficiency Below Threshold,Dacia Logan/Sandero,Mechanical,Worn catalytic converter,Replace catalytic converter
P0430,Catalyst System Efficiency Below Threshold Bank 2,Dacia V6 Models,Mechanical,Bank 2 catalytic converter worn,Replace bank 2 catalytic converter
P0440,Evaporative Emission Control System Malfunction,Dacia Logan/Sandero,Mechanical,EVAP leak or purge valve fault,Smoke test EVAP system
P0441,EVAP System Incorrect Purge Flow,Dacia Logan/Sandero,Mechanical,Purge valve stuck or hose disconnected,Check purge valve and EVAP hoses
P0442,EVAP System Small Leak Detected,Dacia Logan/Sandero,Mechanical,Loose fuel cap or small hose leak,Tighten fuel cap,smoke test EVAP
P0443,EVAP Purge Control Valve Circuit,Dacia Logan/Sandero,Electrical,Purge valve wiring fault,Check purge valve wiring
P0444,EVAP Purge Control Valve Circuit Open,Dacia Logan/Sandero,Electrical,Purge valve wiring open,Check purge valve wiring harness
P0445,EVAP Purge Control Valve Circuit Shorted,Dacia Logan/Sandero,Electrical,Purge valve wiring shorted,Check purge valve wiring for shorts
P0446,EVAP Vent Control Circuit Malfunction,Dacia Logan/Sandero,Electrical,Vent valve wiring fault,Check EVAP vent valve wiring
P0447,EVAP Vent Control Circuit Open,Dacia Logan/Sandero,Electrical,Vent valve wiring open,Check vent valve wiring harness
P0448,EVAP Vent Control Circuit Shorted,Dacia Logan/Sandero,Electrical,Vent valve wiring shorted,Check vent valve wiring for shorts
P0449,EVAP Vent Valve/Solenoid Circuit,Dacia Logan/Sandero,Electrical,Vent solenoid wiring fault,Check EVAP vent solenoid wiring
P0450,EVAP Pressure Sensor Malfunction,Dacia Logan/Sandero,Electrical,EVAP pressure sensor fault,Replace EVAP pressure sensor
P0451,EVAP Pressure Sensor Range/Performance,Dacia Logan/Sandero,Electrical,EVAP pressure sensor out of range,Replace EVAP pressure sensor
P0452,EVAP Pressure Sensor Circuit Low,Dacia Logan/Sandero,Electrical,EVAP pressure sensor wiring short,Check EVAP pressure sensor wiring
P0453,EVAP Pressure Sensor Circuit High,Dacia Logan/Sandero,Electrical,EVAP pressure sensor wiring open,Check EVAP pressure sensor wiring
P0454,EVAP Pressure Sensor Intermittent,Dacia Logan/Sandero,Electrical,EVAP pressure sensor loose connection,Secure EVAP pressure sensor connector
P0455,EVAP System Large Leak Detected,Dacia Logan/Sandero,Mechanical,Missing fuel cap or large EVAP leak,Replace fuel cap,smoke test EVAP
P0456,EVAP System Very Small Leak Detected,Dacia Logan/Sandero,Mechanical,Tiny EVAP system leak,Smoke test EVAP system carefully
P0457,EVAP Leak Detected Fuel Cap Loose,Dacia Logan/Sandero,Mechanical,Fuel cap not tightened properly,Tighten fuel cap until clicks
P0458,EVAP Purge Control Valve Circuit Low,Dacia Logan/Sandero,Electrical,Purge valve control circuit low,Check purge valve control wiring
P0459,EVAP Purge Control Valve Circuit High,Dacia Logan/Sandero,Electrical,Purge valve control circuit high,Check purge valve control wiring
P0460,Fuel Level Sensor A Circuit Malfunction,Dacia Logan/Sandero,Electrical,Fuel level sensor wiring fault,Check fuel level sensor wiring
P0461,Fuel Level Sensor A Range/Performance,Dacia Logan/Sandero,Electrical,Fuel level sensor out of range,Replace fuel level sender
P0462,Fuel Level Sensor A Circuit Low,Dacia Logan/Sandero,Electrical,Fuel level sensor wiring short,Check fuel level sensor wiring
P0463,Fuel Level Sensor A Circuit High,Dacia Logan/Sandero,Electrical,Fuel level sensor wiring open,Check fuel level sensor wiring
P0464,Fuel Level Sensor A Intermittent,Dacia Logan/Sandero,Electrical,Fuel level sensor loose connection,Secure fuel level sensor connector
P0470,Exhaust Pressure Sensor Malfunction,Dacia Diesel Models,Electrical,Exhaust pressure sensor fault,Replace exhaust pressure sensor
P0471,Exhaust Pressure Sensor Range/Performance,Dacia Diesel Models,Electrical,Exhaust pressure sensor out of range,Replace exhaust pressure sensor
P0472,Exhaust Pressure Sensor Circuit Low,Dacia Diesel Models,Electrical,Exhaust pressure sensor wiring short,Check exhaust pressure sensor wiring
P0473,Exhaust Pressure Sensor Circuit High,Dacia Diesel Models,Electrical,Exhaust pressure sensor wiring open,Check exhaust pressure sensor wiring
P0474,Exhaust Pressure Sensor Intermittent,Dacia Diesel Models,Electrical,Exhaust pressure sensor loose,Secure exhaust pressure sensor connector
P0480,Engine Cooling Fan 1 Control Circuit,Dacia Logan/Sandero,Electrical,Fan relay or wiring fault,Test fan relay and wiring
P0481,Engine Cooling Fan 2 Control Circuit,Dacia Logan/Sandero,Electrical,Fan 2 relay or wiring fault,Test fan 2 relay and wiring
P0482,Engine Cooling Fan 3 Control Circuit,Dacia Commercial Models,Electrical,Fan 3 relay or wiring fault,Test fan 3 relay and wiring
P0483,Engine Cooling Fan Rationality Check,Dacia Logan/Sandero,Electrical,Fan speed sensor or logic fault,Check fan speed sensor and BCM
P0484,Engine Cooling Fan Circuit Over Current,Dacia Logan/Sandero,Electrical,Fan motor drawing too much current,Replace cooling fan motor
P0485,Engine Cooling Fan Power/Ground Circuit,Dacia Logan/Sandero,Electrical,Fan power or ground wiring fault,Check fan power and ground wiring
P0486,EGR Sensor B Circuit Malfunction,Dacia Diesel Models,Electrical,EGR sensor B wiring fault,Check EGR sensor B wiring
P0487,EGR Throttle Position Control Circuit,Dacia Diesel Models,Electrical,EGR throttle control wiring fault,Check EGR throttle control wiring
P0488,EGR Throttle Position Control Range/Performance,Dacia Diesel Models,Electrical,EGR throttle control out of range,Test EGR throttle control operation
P0489,EGR Control Circuit Low,Dacia Diesel Models,Electrical,EGR control circuit short to ground,Check EGR control wiring for shorts
P0490,EGR Control Circuit High,Dacia Diesel Models,Electrical,EGR control circuit open or short,Check EGR control wiring harnessP0491,Secondary Air Injection Insufficient Flow Bank 1,Dacia Diesel Models,Mechanical,AIR pump weak or valve stuck Bank 1,Test AIR pump,check Bank 1 valve
P0492,Secondary Air Injection Insufficient Flow Bank 2,Dacia V6 Diesel Models,Mechanical,AIR pump weak or valve stuck Bank 2,Test AIR pump,check Bank 2 valve
P0493,Engine Cooling Fan Overspeed,Dacia Logan/Sandero,Electrical,Fan control module fault,Check fan control module
P0494,Engine Cooling Fan Speed Low,Dacia Logan/Sandero,Electrical,Fan motor weak or resistor fault,Replace fan motor or resistor
P0495,Engine Cooling Fan Speed High,Dacia Logan/Sandero,Electrical,Fan control module fault,Check fan control module
P0496,EVAP System High Purge Flow,Dacia Logan/Sandero,Mechanical,Purge valve stuck open,Replace EVAP purge valve
P0497,EVAP System Low Purge Flow,Dacia Logan/Sandero,Mechanical,Purge valve stuck closed or clogged,Clean or replace EVAP purge valve
P0498,EVAP Vent Valve Control Circuit Low,Dacia Logan/Sandero,Electrical,Vent valve control circuit low,Check vent valve control wiring
P0499,EVAP Vent Valve Control Circuit High,Dacia Logan/Sandero,Electrical,Vent valve control circuit high,Check vent valve control wiring
P0500,Vehicle Speed Sensor Malfunction,Toyota All Models,Electrical,VSS sensor faulty or wiring issue,Replace VSS sensor,check wiring
P0501,Vehicle Speed Sensor Range/Performance,Toyota All Models,Electrical,VSS sensor out of range,Replace vehicle speed sensor
P0502,Vehicle Speed Sensor Circuit Low Input,Toyota All Models,Electrical,VSS wiring short to ground,Check VSS wiring for shorts
P0503,Vehicle Speed Sensor Intermittent/Erratic,Toyota All Models,Electrical,VSS wiring loose or sensor faulty,Secure VSS connector,replace sensor
P0505,Idle Air Control System Malfunction,Toyota All Models,Mechanical,IAC valve dirty or faulty,Clean IAC valve,replace if needed
P0506,Idle Control System RPM Lower Than Expected,Toyota All Models,Mechanical,IAC valve stuck or vacuum leak,Clean IAC valve,check for vacuum leaks
P0507,Idle Control System RPM Higher Than Expected,Toyota All Models,Mechanical,IAC valve stuck open or throttle dirty,Clean throttle body and IAC valve
P0508,Idle Air Control System Circuit Low,Toyota All Models,Electrical,IAC control wiring short to ground,Check IAC control wiring
P0509,Idle Air Control System Circuit High,Toyota All Models,Electrical,IAC control wiring open or short,Check IAC control wiring harness
P0510,Closed Throttle Position Switch Malfunction,Toyota All Models,Electrical,Throttle switch wiring fault,Check throttle position switch wiring
P0511,Idle Air Control Circuit Malfunction,Toyota All Models,Electrical,IAC circuit wiring or valve fault,Check IAC wiring,replace valve if needed
P0512,Starter Request Circuit,Toyota All Models,Electrical,Starter relay or wiring fault,Check starter relay and wiring
P0513,Incorrect Immobilizer Key,Toyota All Models,Electrical,Immobilizer key not recognized,Use programmed key,reprogram if needed
P0514,Battery Temperature Sensor Range/Performance,Toyota Hybrid Models,Electrical,Battery temp sensor out of range,Replace battery temperature sensor
P0515,Battery Temperature Sensor Circuit,Toyota Hybrid Models,Electrical,Battery temp sensor wiring fault,Check battery temp sensor wiring
P0516,Battery Temperature Sensor Circuit Low,Toyota Hybrid Models,Electrical,Battery temp sensor wiring short,Check battery temp sensor wiring
P0517,Battery Temperature Sensor Circuit High,Toyota Hybrid Models,Electrical,Battery temp sensor wiring open,Check battery temp sensor wiring
P0518,Idle Air Control Circuit Intermittent,Toyota All Models,Electrical,IAC wiring loose connection,Secure IAC connector
P0519,Idle Air Control System Performance,Toyota All Models,Mechanical,IAC valve worn or carbon buildup,Clean or replace IAC valve
P0520,Engine Oil Pressure Sensor Circuit,Toyota All Models,Electrical,Oil pressure sensor wiring fault,Check oil pressure sensor wiring
P0521,Engine Oil Pressure Sensor Range/Performance,Toyota All Models,Electrical,Oil pressure sensor out of range,Replace oil pressure sensor
P0522,Engine Oil Pressure Sensor Circuit Low,Toyota All Models,Electrical,Oil pressure sensor wiring short,Check oil pressure sensor wiring
P0523,Engine Oil Pressure Sensor Circuit High,Toyota All Models,Electrical,Oil pressure sensor wiring open,Check oil pressure sensor wiring
P0524,Engine Oil Pressure Too Low,Toyota All Models,Mechanical,Low oil level or worn pump,Check oil level,test oil pressure
P0525,Cruise Control Servo Control Range/Performance,Toyota All Models,Electrical,Cruise servo wiring or motor fault,Check cruise control servo
P0526,Fan Speed Sensor Circuit,Toyota All Models,Electrical,Fan speed sensor wiring fault,Check fan speed sensor wiring
P0527,Fan Speed Sensor Circuit Range/Performance,Toyota All Models,Electrical,Fan speed sensor out of range,Replace fan speed sensor
P0528,Fan Speed Sensor Circuit No Signal,Toyota All Models,Electrical,Fan speed sensor wiring open,Check fan speed sensor wiring
P0529,Fan Speed Sensor Circuit Intermittent,Toyota All Models,Electrical,Fan speed sensor loose connection,Secure fan speed sensor connector
P0530,A/C Refrigerant Pressure Sensor Circuit,Toyota All Models,Electrical,A/C pressure sensor wiring fault,Check A/C pressure sensor wiring
P0531,A/C Refrigerant Pressure Sensor Range/Performance,Toyota All Models,Electrical,A/C pressure sensor out of range,Replace A/C pressure sensor
P0532,A/C Refrigerant Pressure Sensor Circuit Low,Toyota All Models,Electrical,A/C pressure sensor wiring short,Check A/C pressure sensor wiring
P0533,A/C Refrigerant Pressure Sensor Circuit High,Toyota All Models,Electrical,A/C pressure sensor wiring open,Check A/C pressure sensor wiring
P0534,A/C Refrigerant Charge Loss,Toyota All Models,Mechanical,Refrigerant leak in A/C system,Pressure test A/C system for leaks
P0535,A/C Evaporator Temperature Sensor Circuit,Toyota All Models,Electrical,Evap temp sensor wiring fault,Check evaporator temp sensor wiring
P0536,A/C Evaporator Temperature Sensor Range/Performance,Toyota All Models,Electrical,Evap temp sensor out of range,Replace evaporator temp sensor
P0537,A/C Evaporator Temperature Sensor Circuit Low,Toyota All Models,Electrical,Evap temp sensor wiring short,Check evaporator temp sensor wiring
P0538,A/C Evaporator Temperature Sensor Circuit High,Toyota All Models,Electrical,Evap temp sensor wiring open,Check evaporator temp sensor wiring
P0539,A/C Evaporator Temperature Sensor Intermittent,Toyota All Models,Electrical,Evap temp sensor loose connection,Secure evaporator temp sensor connector
P0540,Intake Air Heater A Circuit Malfunction,Toyota Diesel Models,Electrical,Intake heater relay or wiring fault,Check intake heater relay and wiring
P0541,Intake Air Heater A Circuit Low,Toyota Diesel Models,Electrical,Intake heater wiring short to ground,Check intake heater wiringP0542,Intake Air Heater A Circuit High,Toyota Diesel Models,Electrical,Intake heater wiring open or short,Check intake heater wiring harness
P0543,Intake Air Heater A Circuit Open,Toyota Diesel Models,Electrical,Intake heater wiring open circuit,Check intake heater wiring continuity
P0544,Exhaust Gas Temperature Sensor Circuit B1S1,Toyota Diesel Models,Electrical,EGT sensor wiring fault Bank 1,Check EGT sensor Bank 1 wiring
P0545,Exhaust Gas Temperature Sensor Circuit Low B1S1,Toyota Diesel Models,Electrical,EGT sensor wiring short Bank 1,Check EGT sensor Bank 1 wiring
P0546,Exhaust Gas Temperature Sensor Circuit High B1S1,Toyota Diesel Models,Electrical,EGT sensor wiring open Bank 1,Check EGT sensor Bank 1 wiring
P0547,Exhaust Gas Temperature Sensor Circuit B2S1,Toyota V6 Diesel Models,Electrical,EGT sensor wiring fault Bank 2,Check EGT sensor Bank 2 wiring
P0548,Exhaust Gas Temperature Sensor Circuit Low B2S1,Toyota V6 Diesel Models,Electrical,EGT sensor wiring short Bank 2,Check EGT sensor Bank 2 wiring
P0549,Exhaust Gas Temperature Sensor Circuit High B2S1,Toyota V6 Diesel Models,Electrical,EGT sensor wiring open Bank 2,Check EGT sensor Bank 2 wiring
P0550,Power Steering Pressure Sensor Circuit,Toyota All Models,Electrical,PS pressure sensor wiring fault,Check power steering pressure sensor wiring
P0551,Power Steering Pressure Sensor Range/Performance,Toyota All Models,Electrical,PS pressure sensor out of range,Replace power steering pressure sensor
P0552,Power Steering Pressure Sensor Circuit Low,Toyota All Models,Electrical,PS pressure sensor wiring short,Check PS pressure sensor wiring
P0553,Power Steering Pressure Sensor Circuit High,Toyota All Models,Electrical,PS pressure sensor wiring open,Check PS pressure sensor wiring
P0554,Power Steering Pressure Sensor Intermittent,Toyota All Models,Electrical,PS pressure sensor loose connection,Secure PS pressure sensor connector
P0560,System Voltage Malfunction,Toyota All Models,Electrical,Battery or alternator voltage issue,Test battery voltage and alternator output
P0561,System Voltage Unstable,Toyota All Models,Electrical,Loose battery terminal or bad ground,Check battery terminals and ground connections
P0562,System Voltage Low,Toyota All Models,Electrical,Weak battery or failing alternator,Test battery and alternator,replace if needed
P0563,System Voltage High,Toyota All Models,Electrical,Faulty voltage regulator in alternator,Replace alternator or voltage regulator
P0564,Cruise Control Multi Function Input A Circuit,Toyota All Models,Electrical,Cruise switch wiring fault,Check cruise control switch wiring
P0565,Cruise Control On Signal Malfunction,Toyota All Models,Electrical,Cruise on switch wiring fault,Check cruise on switch wiring
P0566,Cruise Control Off Signal Malfunction,Toyota All Models,Electrical,Cruise off switch wiring fault,Check cruise off switch wiring
P0567,Cruise Control Resume Signal Malfunction,Toyota All Models,Electrical,Cruise resume switch wiring fault,Check cruise resume switch wiring
P0568,Cruise Control Set Signal Malfunction,Toyota All Models,Electrical,Cruise set switch wiring fault,Check cruise set switch wiring
P0569,Cruise Control Coast Signal Malfunction,Toyota All Models,Electrical,Cruise coast switch wiring fault,Check cruise coast switch wiring
P0570,Cruise Control Accelerate Signal Malfunction,Toyota All Models,Electrical,Cruise accelerate switch wiring fault,Check cruise accelerate switch wiring
P0571,Brake Switch A Circuit Malfunction,Toyota All Models,Electrical,Brake switch wiring fault,Check brake switch wiring
P0572,Brake Switch A Circuit Low,Toyota All Models,Electrical,Brake switch wiring short to ground,Check brake switch wiring for shorts
P0573,Brake Switch A Circuit High,Toyota All Models,Electrical,Brake switch wiring open or short,Check brake switch wiring harness
P0574,Cruise Control System Vehicle Speed Too High,Toyota All Models,Electrical,Cruise control logic fault,Check cruise control module
P0575,Cruise Control Input Circuit Malfunction,Toyota All Models,Electrical,Cruise input wiring fault,Check cruise control input wiring
P0576,Cruise Control Input Circuit Low,Toyota All Models,Electrical,Cruise input wiring short to ground,Check cruise input wiring for shorts
P0577,Cruise Control Input Circuit High,Toyota All Models,Electrical,Cruise input wiring open or short,Check cruise input wiring harness
P0578,Cruise Control Multi Function Input A Stuck,Toyota All Models,Electrical,Cruise switch stuck or shorted,Replace cruise control switch
P0579,Cruise Control Multi Function Input A Range,Toyota All Models,Electrical,Cruise switch out of range,Replace cruise control switch
P0580,Cruise Control Multi Function Input A Low,Toyota All Models,Electrical,Cruise switch wiring short,Check cruise switch wiring
P0581,Cruise Control Multi Function Input A High,Toyota All Models,Electrical,Cruise switch wiring open,Check cruise switch wiring
P0582,Cruise Control Vacuum Control Circuit/Open,Toyota Vacuum Cruise Models,Electrical,Cruise vacuum solenoid wiring fault,Check cruise vacuum solenoid wiring
P0583,Cruise Control Vacuum Control Circuit Low,Toyota Vacuum Cruise Models,Electrical,Cruise vacuum solenoid circuit low,Check cruise vacuum solenoid wiring
P0584,Cruise Control Vacuum Control Circuit High,Toyota Vacuum Cruise Models,Electrical,Cruise vacuum solenoid circuit high,Check cruise vacuum solenoid wiring
P0585,Cruise Control Multi Function Input A/B Correlation,Toyota All Models,Electrical,Cruise switch correlation fault,Replace cruise control switch assembly
P0586,Cruise Control Vent Control Circuit/Open,Toyota Vacuum Cruise Models,Electrical,Cruise vent solenoid wiring fault,Check cruise vent solenoid wiring
P0587,Cruise Control Vent Control Circuit Low,Toyota Vacuum Cruise Models,Electrical,Cruise vent solenoid circuit low,Check cruise vent solenoid wiring
P0588,Cruise Control Vent Control Circuit High,Toyota Vacuum Cruise Models,Electrical,Cruise vent solenoid circuit high,Check cruise vent solenoid wiring
P0589,Cruise Control Multi Function Input B Circuit,Toyota All Models,Electrical,Cruise input B wiring fault,Check cruise input B wiring
P0590,Cruise Control Multi Function Input B Stuck,Toyota All Models,Electrical,Cruise input B switch stuck,Replace cruise control switch
P0591,Cruise Control Multi Function Input B Range,Toyota All Models,Electrical,Cruise input B out of range,Replace cruise control switch
P0592,Cruise Control Multi Function Input B Low,Toyota All Models,Electrical,Cruise input B wiring short,Check cruise input B wiring
P0593,Cruise Control Multi Function Input B High,Toyota All Models,Electrical,Cruise input B wiring open,Check cruise input B wiring
P0594,Cruise Control Servo Control Circuit/Open,Toyota All Models,Electrical,Cruise servo wiring fault,Check cruise servo control wiring
P0595,Cruise Control Servo Control Circuit Low,Toyota All Models,Electrical,Cruise servo circuit low,Check cruise servo wiring
P0596,Cruise Control Servo Control Circuit High,Toyota All Models,Electrical,Cruise servo circuit high,Check cruise servo wiringP0597,Thermostat Heater Control Circuit/Open,Toyota All Models,Electrical,Thermostat heater wiring fault,Check thermostat heater wiring
P0598,Thermostat Heater Control Circuit Low,Toyota All Models,Electrical,Thermostat heater circuit low,Check thermostat heater wiring
P0599,Thermostat Heater Control Circuit High,Toyota All Models,Electrical,Thermostat heater circuit high,Check thermostat heater wiring
